EpochsDir,Dataset,Model,Strategy,TestAccuracy,TestLoss,BestEpoch,BestValAcc
matrix_results_100epochs,SVHN,RESNET,CONSISTENCY,0.9469114935464045,0.19109451719651036,6,0.9455364455364456
matrix_results_100epochs,SVHN,RESNET,CO TRAINING,0.9446834665027658,0.3276711318587117,17,0.9444444444444444
matrix_results_100epochs,SVHN,RESNET,PSEUDO LABELING,0.941879225568531,0.3422773503972327,19,0.9445809445809445
matrix_results_100epochs,SVHN,SIMPLE CNN,ADAS WSL,0.9325061462814997,0.30808544867471155,16,0.9331149331149331
matrix_results_100epochs,SVHN,SIMPLE CNN,BASELINE,0.9328518746158574,0.6766507200823695,98,0.9400764400764401
matrix_results_100epochs,SVHN,SIMPLE CNN,CONSISTENCY,0.9353488014751076,0.5391808202051941,95,0.9362544362544363
matrix_results_100epochs,SVHN,SIMPLE CNN,CO TRAINING,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
matrix_results_100epochs,SVHN,SIMPLE CNN,PSEUDO LABELING,0.9308543331284573,0.5087943299874371,60,0.9352989352989353
matrix_results_50epochs,CIFAR100,MLP,ADAS WSL,0.2104,3.3806237751924537,25,0.2204
matrix_results_50epochs,CIFAR100,MLP,BASELINE,0.2013,3.402644905862929,17,0.2204
matrix_results_50epochs,CIFAR100,MLP,CONSISTENCY,0.2013,3.402644905862929,17,0.2204
matrix_results_50epochs,CIFAR100,MLP,CO TRAINING,0.2013,3.402644905862929,17,0.2204
matrix_results_50epochs,CIFAR100,MLP,PSEUDO LABELING,0.2013,3.402644905862929,17,0.2204
matrix_results_50epochs,CIFAR100,RESNET,ADAS WSL,0.5416,2.5339581272270104,14,0.5448
matrix_results_50epochs,CIFAR100,RESNET,BASELINE,0.5367,2.5825406825995145,15,0.5366
matrix_results_50epochs,CIFAR100,RESNET,CONSISTENCY,0.56,2.0487518220008174,35,0.5636
matrix_results_50epochs,CIFAR100,RESNET,CO TRAINING,0.5321,2.2517489013792593,10,0.534
matrix_results_50epochs,CIFAR100,RESNET,PSEUDO LABELING,0.5289,3.0022769034663335,20,0.5368
matrix_results_50epochs,CIFAR100,SIMPLE CNN,ADAS WSL,0.4705,3.156491925444784,32,0.4628
matrix_results_50epochs,CIFAR100,SIMPLE CNN,BASELINE,0.4494,2.6173041108288344,15,0.4556
matrix_results_50epochs,CIFAR100,SIMPLE CNN,CONSISTENCY,0.4494,2.6173041108288344,15,0.4556
matrix_results_50epochs,CIFAR100,SIMPLE CNN,CO TRAINING,0.4494,2.6173041108288344,15,0.4556
matrix_results_50epochs,CIFAR100,SIMPLE CNN,PSEUDO LABELING,0.4494,2.6173041108288344,15,0.4556
matrix_results_50epochs,CIFAR10N,MLP,ADAS WSL,0.5354,1.3368139297147341,40,0.5394
matrix_results_50epochs,CIFAR10N,MLP,BASELINE,0.5426,1.3262682474112208,43,0.5356
matrix_results_50epochs,CIFAR10N,MLP,CONSISTENCY,0.5305,1.3440995457806164,33,0.5348
matrix_results_50epochs,CIFAR10N,MLP,CO TRAINING,0.5307,1.3483367766006082,48,0.5336
matrix_results_50epochs,CIFAR10N,MLP,PSEUDO LABELING,0.5358,1.3759193918373012,45,0.54
matrix_results_50epochs,CIFAR10N,RESNET,ADAS WSL,0.835,0.8473234561425221,18,0.8438
matrix_results_50epochs,CIFAR10N,RESNET,BASELINE,0.8345,0.6162650113618826,9,0.8384
matrix_results_50epochs,CIFAR10N,RESNET,CONSISTENCY,0.8476,0.9316928416867799,44,0.853
matrix_results_50epochs,CIFAR10N,RESNET,CO TRAINING,0.8402,0.9391077926641778,34,0.8498
matrix_results_50epochs,CIFAR10N,RESNET,PSEUDO LABELING,0.8446,0.8705724583396429,24,0.8534
matrix_results_50epochs,CIFAR10N,SIMPLE CNN,ADAS WSL,0.7792,1.1856723450407196,22,0.7946
matrix_results_50epochs,CIFAR10N,SIMPLE CNN,BASELINE,0.7881,0.7664080922362171,10,0.7986
matrix_results_50epochs,CIFAR10N,SIMPLE CNN,CONSISTENCY,0.7881,0.7664080922362171,10,0.7986
matrix_results_50epochs,CIFAR10N,SIMPLE CNN,CO TRAINING,0.7881,0.7664080922362171,10,0.7986
matrix_results_50epochs,CIFAR10N,SIMPLE CNN,PSEUDO LABELING,0.7881,0.7664080922362171,10,0.7986
matrix_results_50epochs,SVHN,MLP,ADAS WSL,0.7963660110633067,0.6943575080995467,46,0.8322413322413322
matrix_results_50epochs,SVHN,MLP,BASELINE,0.8011677934849416,0.6940790262876773,46,0.8329238329238329
matrix_results_50epochs,SVHN,MLP,CONSISTENCY,0.7915642286416718,0.729275174000684,33,0.8266448266448266
matrix_results_50epochs,SVHN,MLP,CO TRAINING,0.7854947756607252,0.7327532156133184,33,0.8247338247338247
matrix_results_50epochs,SVHN,MLP,PSEUDO LABELING,0.8075829748002459,0.6837975856135873,47,0.8382473382473382
matrix_results_50epochs,SVHN,RESNET,ADAS WSL,0.9471035648432699,0.19285804478853358,4,0.941031941031941
matrix_results_50epochs,SVHN,RESNET,BASELINE,0.9338122311001844,0.2348122764378786,5,0.9393939393939394
matrix_results_50epochs,SVHN,RESNET,CONSISTENCY,0.9416871542716656,0.2325142163089385,8,0.943079443079443
matrix_results_50epochs,SVHN,RESNET,CO TRAINING,0.9453365089121082,0.2319415863238129,10,0.9445809445809445
matrix_results_50epochs,SVHN,RESNET,PSEUDO LABELING,0.9487553779963123,0.3978670446256943,45,0.9481299481299481
matrix_results_50epochs,SVHN,SIMPLE CNN,ADAS WSL,0.9325061462814997,0.30808544867471155,16,0.9331149331149331
matrix_results_50epochs,SVHN,SIMPLE CNN,BASELINE,0.9294714197910264,0.26969354296577913,10,0.9303849303849304
